month,region,????,?????,????,???????,????,?????,????,???????,????
2025?,??,"1,332,980",4.1,"2,173,972,677",53.1,"1,671,493",-17.0,"3,678,282,379",-13.7,"-338,513"
2025?1?,??,"192,523",-2.2,"341,958,293",24.2,"410,554",-17.4,"945,577,210",-7.1,"-218,031"
2025?2?,??,"493,937",-1.3,"706,239,324",6.5,"660,451",-26.6,"1,667,752,040",-16.6,"-166,514"
2025?3?,??,"806,803",3.5,"1,113,250,848",24.4,"999,571",-22.0,"2,367,525,466",-18.0,"-192,768"
2025?4?,??,"1,103,414",8.3,"1,708,579,316",51.0,"1,520,976",-3.8,"3,376,891,086",-0.9,"-417,562"
2025?5?,??,"1,332,980",4.1,"2,173,972,677",53.1,"1,671,493",-17.0,"3,678,282,379",-13.7,"-338,513"
2024?,??,"2,883,155",6.5,"3,705,777,151",23.9,"3,962,651",-26.9,"9,563,522,180",-28.5,"-1,079,496"
2024?1?,??,"196,875",6.5,"275,303,272",-5.3,"497,152",-50.2,"1,018,059,431",-34.3,"-300,277"
2024?2?,??,"500,614",22.3,"662,868,981",13.1,"900,189",-47.2,"1,999,663,207",-37.8,"-399,575"
2024?3?,??,"779,710",25.2,"895,250,536",14.8,"1,282,225",-49.0,"2,887,003,175",-41.4,"-502,515"
2024?4?,??,"1,018,903",21.3,"1,131,869,727",19.5,"1,580,407",-42.8,"3,406,332,481",-39.3,"-561,504"
2024?5?,??,"1,280,699",18.7,"1,420,272,856",27.7,"2,013,769",-34.1,"4,264,668,909",-31.2,"-733,070"
2024?6?,??,"1,523,544",15.9,"1,599,222,599",12.5,"2,305,667",-30.1,"4,959,775,142",-30.4,"-782,123"
2024?7?,??,"1,750,477",8.2,"1,956,680,929",17.3,"2,462,938",-31.2,"5,631,535,885",-30.9,"-712,461"
2024?8?,??,"1,940,515",6.7,"2,199,504,932",14.3,"2,604,947",-33.0,"6,263,099,330",-31.7,"-664,432"
2024?9?,??,"2,196,453",7.3,"2,506,752,542",15.1,"2,774,837",-33.7,"6,681,408,883",-34.5,"-578,384"
2024?10?,??,"2,433,467",7.5,"2,869,871,104",19.6,"3,367,554",-25.4,"7,923,643,665",-29.2,"-934,087"
2024?11?,??,"2,655,839",7.2,"3,275,793,725",27.9,"3,620,909",-25.4,"8,710,790,552",-28.2,"-965,070"
2024?12?,??,"2,883,155",6.5,"3,705,777,151",23.9,"3,962,651",-26.9,"9,563,522,180",-28.5,"-1,079,496"
2023?,??,"2,707,735",-1.5,"2,990,531,176",-10.3,"5,417,371",-29.7,"13,378,206,009",-15.5,"-2,709,636"
2023?1?,??,"184,774",-21.7,"290,677,314",-8.0,"997,987",51.8,"1,549,545,779",14.8,"-813,213"
2023?2?,??,"409,319",-14.7,"585,927,564",6.2,"1,704,970",67.5,"3,212,534,413",26.1,"-1,295,651"
2023?3?,??,"622,839",-16.1,"780,123,138",-4.1,"2,513,233",53.8,"4,923,291,175",21.1,"-1,890,394"
2023?4?,??,"839,736",-17.9,"947,357,461",-1.6,"2,765,283",40.9,"5,609,067,671",14.7,"-1,925,547"
2023?5?,??,"1,078,579",-13.8,"1,112,114,210",-1.2,"3,057,469",20.8,"6,200,596,251",1.2,"-1,978,890"
2023?6?,??,"1,314,188",-11.6,"1,421,134,045",8.2,"3,297,045",13.4,"7,130,223,203",-4.4,"-1,982,857"
2023?7?,??,"1,617,424",-5.3,"1,668,302,206",4.6,"3,582,384",4.8,"8,147,857,297",-6.6,"-1,964,960"
2023?8?,??,"1,819,109",-4.0,"1,923,648,815",-0.9,"3,890,785",-6.1,"9,173,389,807",-10.5,"-2,071,676"
2023?9?,??,"2,046,529",-3.4,"2,177,065,653",-6.3,"4,183,930",-26.3,"10,205,426,260",-15.1,"-2,137,401"
2023?10?,??,"2,263,081",-3.2,"2,399,593,189",-8.4,"4,512,760",-29.2,"11,188,137,964",-14.6,"-2,249,679"
2023?11?,??,"2,478,092",-2.5,"2,560,616,776",-13.1,"4,853,182",-32.9,"12,127,360,125",-16.3,"-2,375,090"
2023?12?,??,"2,707,735",-1.5,"2,990,531,176",-10.3,"5,417,371",-29.7,"13,378,206,009",-15.5,"-2,709,636"
2022?,??,"2,748,667",0.7,"3,335,630,308",-36.7,"7,704,364",78.4,"15,832,941,712",9.5,"-4,955,697"
2022?1?,??,"236,038",24.6,"315,861,112",-23.3,"657,616",263.9,"1,349,903,419",94.1,"-421,578"
2022?2?,??,"479,650",21.3,"551,577,667",-35.7,"1,018,111",38.4,"2,546,698,312",42.8,"-538,461"
2022?3?,??,"742,722",17.3,"813,411,454",-36.9,"1,633,637",59.5,"4,066,052,728",30.1,"-890,915"
2022?4?,??,"1,022,336",18.4,"962,310,645",-37.0,"1,962,903",48.5,"4,891,148,868",14.8,"-940,567"
2022?5?,??,"1,251,707",15.3,"1,125,666,478",-40.0,"2,530,338",50.9,"6,128,455,932",15.1,"-1,278,631"
2022?6?,??,"1,485,813",14.9,"1,313,664,371",-39.4,"2,908,366",55.3,"7,456,588,966",19.2,"-1,422,553"
2022?7?,??,"1,707,930",10.6,"1,595,302,238",-40.4,"3,418,329",52.7,"8,719,313,645",12.2,"-1,710,399"
2022?8?,??,"1,895,453",7.6,"1,940,146,154",-40.8,"4,143,140",62.5,"10,254,007,447",13.7,"-2,247,687"
2022?9?,??,"2,119,474",5.4,"2,324,637,699",-40.4,"5,680,092",81.6,"12,015,129,460",12.9,"-3,560,618"
2022?10?,??,"2,338,012",2.9,"2,619,531,068",-41.1,"6,373,867",82.1,"13,108,206,829",8.6,"-4,035,855"
2022?11?,??,"2,540,666",1.2,"2,947,502,892",-39.8,"7,229,088",87.4,"14,481,532,999",9.1,"-4,688,422"
2022?12?,??,"2,748,667",0.7,"3,335,630,308",-36.7,"7,704,364",78.4,"15,832,941,712",9.5,"-4,955,697"
2021?,??,"2,729,879",34.9,"5,270,637,576",-11.6,"4,317,665",37.1,"14,454,706,373",4.2,"-1,587,786"
2021?1?,??,"189,482",33.3,"411,579,946",-11.0,"180,734",-28.8,"695,564,005",-41.6,"8,748"
2021?2?,??,"395,379",33.6,"857,514,785",-12.8,"735,853",17.4,"1,782,867,082",-38.5,"-340,474"
2021?3?,??,"633,314",35.2,"1,290,088,177",-9.0,"1,023,989",23.1,"3,124,266,542",-16.2,"-390,675"
2021?4?,??,"863,587",38.9,"1,528,252,671",-12.7,"1,321,722",11.9,"4,260,071,133",-10.8,"-458,135"
2021?5?,??,"1,086,063",44.8,"1,877,614,318",-15.6,"1,676,469",9.7,"5,324,771,594",-12.2,"-590,406"
2021?6?,??,"1,292,804",41.4,"2,169,256,998",-21.1,"1,872,862",5.7,"6,255,214,102",-13.3,"-580,058"
2021?7?,??,"1,544,444",42.3,"2,677,399,018",-14.9,"2,238,870",10.0,"7,768,391,842",-11.1,"-694,426"
2021?8?,??,"1,761,888",42.1,"3,279,820,691",-9.8,"2,550,159",12.5,"9,016,223,126",-8.9,"-788,271"
2021?9?,??,"2,011,136",40.6,"3,900,684,810",-8.4,"3,128,169",26.3,"10,646,066,904",-3.8,"-1,117,033"
2021?10?,??,"2,271,933",41.5,"4,445,025,310",-8.4,"3,500,254",33.0,"12,071,314,686",3.3,"-1,228,321"
2021?11?,??,"2,509,580",38.0,"4,894,630,137",-8.5,"3,858,585",33.7,"13,271,511,260",4.4,"-1,349,005"
2021?12?,??,"2,729,879",34.9,"5,270,637,576",-11.6,"4,317,665",37.1,"14,454,706,373",4.2,"-1,587,786"
