???,??,????(?)
??,May-25,15.5
??,Apr-25,11.7
??,Mar-25,5.3
??,Feb-25,-3.7
??,Jan-25,-3.9
??,Dec-24,-2.1
??,Nov-24,7
??,Oct-24,13.6
??,Sep-24,22.3
??,Aug-24,26.8
??,Jul-24,25.1
??,Jun-24,22.3
??,May-24,16.5
??,Apr-24,14
??,Mar-24,4.6
??,Feb-24,1.3
??,Jan-24,-2.6
??,Dec-23,-1.3
??,Nov-23,4.9
??,Oct-23,12.1
??,Sep-23,20.9
??,Aug-23,25
??,Jul-23,25
??,Jun-23,21.5
??,May-23,17
??,Apr-23,11.7
??,Mar-23,7.3
??,Feb-23,-0.3
??,Jan-23,-4.6
??,Dec-22,-5.6
??,Nov-22,6.9
??,Oct-22,11.5
??,Sep-22,19.1
??,Aug-22,23.8
??,Jul-22,25
??,Jun-22,21.2
??,May-22,16.7
??,Apr-22,12.7
??,Mar-22,5.5
??,Feb-22,-3.3
??,Jan-22,-4.7
??,Dec-21,-1.6
??,Nov-21,5.5
??,Oct-21,12.8
??,Sep-21,19.8
??,Aug-21,23.3
??,Jul-21,25.6
??,Jun-21,20.8
??,May-21,15.1
??,Apr-21,11.8
??,Mar-21,6.7
??,Feb-21,0.7
??,Jan-21,-5
??,Dec-20,-3.2
??,Nov-20,5.5
??,Oct-20,10.9
??,Sep-20,18.4
??,Aug-20,25
??,Jul-20,22.2
??,Jun-20,22.6
??,May-20,16.6
??,Apr-20,9.1
??,Mar-20,5.8
??,Feb-20,0.5
??,Jan-20,-0.6
??,Dec-19,-0.5
??,Nov-19,5.2
??,Oct-19,13.5
??,Sep-19,20.8
??,Aug-19,25.7
??,Jul-19,25
??,Jun-19,21.6
??,May-19,18.6
??,Apr-19,11
??,Mar-19,5.8
??,Feb-19,0.1
??,Jan-19,-3.1
??,Dec-18,-2.6
??,Nov-18,5.7
??,Oct-18,10.6
??,Sep-18,19.1
??,Aug-18,26.7
??,Jul-18,26.1
??,Jun-18,22.4
??,May-18,17.1
??,Apr-18,12.1
??,Mar-18,7.1
??,Feb-18,-3
??,Jan-18,-5.3
??,Dec-17,-3.5
??,Nov-17,4
??,Oct-17,13.6
??,Sep-17,19
??,Aug-17,24
??,Jul-17,25.7
??,Jun-17,21.8
??,May-17,18.5
??,Apr-17,13.2
??,Mar-17,4.8
??,Feb-17,-1.2
??,Jan-17,-3.1
??,Dec-16,0.1
??,Nov-16,5.6
??,Oct-16,14.3
??,Sep-16,20.9
??,Aug-16,26.1
??,Jul-16,24.9
??,Jun-16,22.8
??,May-16,18.5
??,Apr-16,13.8
??,Mar-16,5.9
??,Feb-16,-0.8
??,Jan-16,-4.1
??,Dec-15,0.3
??,Nov-15,7.9
??,Oct-15,13.4
??,Sep-15,19.7
??,Aug-15,25.2
??,Jul-15,24.7
??,Jun-15,22.7
??,May-15,18.9
??,Apr-15,12.2
??,Mar-15,5.6
??,Feb-15,0
??,Jan-15,-2.4
??,Dec-14,-4.4
??,Nov-14,6.6
??,Oct-14,12.9
??,Sep-14,20.1
??,Aug-14,23.7
??,Jul-14,25.4
??,Jun-14,22.4
??,May-14,18.5
??,Apr-14,13.1
??,Mar-14,6.7
??,Feb-14,0.3
??,Jan-14,-2.3
??,Dec-13,-2
??,Nov-13,4.4
??,Oct-13,13.4
??,Sep-13,19.9
??,Aug-13,26.4
??,Jul-13,25.4
??,Jun-13,23.3
??,May-13,17.7
??,Apr-13,9
??,Mar-13,4.7
??,Feb-13,-2.4
??,Jan-13,-6.3
??,Dec-12,-5.7
??,Nov-12,3.8
??,Oct-12,12.5
??,Sep-12,18.9
??,Aug-12,25.8
??,Jul-12,25
??,Jun-12,22.7
??,May-12,17.9
??,Apr-12,11.8
??,Mar-12,4.2
??,Feb-12,-3.6
??,Jan-12,-4.9
??,Dec-11,-2.8
??,Nov-11,8.4
??,Oct-11,11.5
??,Sep-11,19.4
??,Aug-11,25
??,Jul-11,24.3
??,Jun-11,21.7
??,May-11,17
??,Apr-11,10
??,Mar-11,2.9
??,Feb-11,-0.5
??,Jan-11,-9.3
??,Dec-10,-2.6
??,Nov-10,4.5
??,Oct-10,12.7
??,Sep-10,20.1
??,Aug-10,25.9
??,Jul-10,25.2
??,Jun-10,22.4
??,May-10,16.8
??,Apr-10,9.3
??,Mar-10,3.9
??,Feb-10,0.1
??,Jan-10,-5.9
??,Dec-09,-2.1
??,Nov-09,5.4
??,Oct-09,13.2
??,Sep-09,19.5
??,Aug-09,24
??,Jul-09,23.5
??,Jun-09,21.4
??,May-09,17.8
??,Apr-09,11.5
??,Mar-09,5.4
??,Feb-09,1.6
??,Jan-09,-4.9
??,Dec-08,-0.8
??,Nov-08,5.1
??,Oct-08,13.6
??,Sep-08,19.8
??,Aug-08,24
??,Jul-08,25.2
??,Jun-08,20.2
??,May-08,16.7
??,Apr-08,12.4
??,Mar-08,5.3
??,Feb-08,-3.4
??,Jan-08,-3.8
??,Dec-07,-1
??,Nov-07,4.1
??,Oct-07,13.1
??,Sep-07,20.3
??,Aug-07,25.2
??,Jul-07,23.5
??,Jun-07,21.9
??,May-07,17.2
??,Apr-07,10.5
??,Mar-07,4.7
??,Feb-07,1.4
??,Jan-07,-2.3
??,Dec-06,-1.5
??,Nov-06,5.8
??,Oct-06,15.1
??,Sep-06,18.6
??,Aug-06,26
??,Jul-06,22.7
??,Jun-06,21.3
??,May-06,17.5
??,Apr-06,10.5
??,Mar-06,4.2
??,Feb-06,-1.2
??,Jan-06,-2.8
??,Dec-05,-6.2
??,Nov-05,5.5
??,Oct-05,12.5
??,Sep-05,20.3
??,Aug-05,24.2
??,Jul-05,24.9
??,Jun-05,22.6
??,May-05,16.6
??,Apr-05,12.6
??,Mar-05,3.4
??,Feb-05,-3.5
??,Jan-05,-4.5
??,Dec-04,-0.3
??,Nov-04,6.6
??,Oct-04,12.2
??,Sep-04,19.9
??,Aug-04,24.3
??,Jul-04,24.5
??,Jun-04,22.1
??,May-04,17
??,Apr-04,12
??,Mar-04,4.8
??,Feb-04,0.3
??,Jan-04,-4.5
??,Dec-03,-1.5
??,Nov-03,7.3
??,Oct-03,11
??,Sep-03,19.3
??,Aug-03,23.1
??,Jul-03,22.9
??,Jun-03,20.8
??,May-03,17.5
??,Apr-03,11.4
??,Mar-03,4.5
??,Feb-03,-0.1
??,Jan-03,-5.5
??,Dec-02,-1.4
??,Nov-02,1.8
??,Oct-02,10.4
??,Sep-02,18.8
??,Aug-02,23.1
??,Jul-02,24.2
??,Jun-02,20.8
??,May-02,16.9
??,Apr-02,12.7
??,Mar-02,6.8
??,Feb-02,0.3
??,Jan-02,-2.4
??,May-25,16.8
??,Apr-25,12.5
??,Mar-25,7.1
??,Feb-25,-1.8
??,Jan-25,-1.4
??,Dec-24,0.1
??,Nov-24,8.9
??,Oct-24,15.8
??,Sep-24,24.6
??,Aug-24,28.2
??,Jul-24,25.9
??,Jun-24,23.1
??,May-24,17.5
??,Apr-24,15.1
??,Mar-24,6.4
??,Feb-24,3.2
??,Jan-24,-0.9
??,Dec-23,0.6
??,Nov-23,6.5
??,Oct-23,14.7
??,Sep-23,22.8
??,Aug-23,26.4
??,Jul-23,25.8
??,Jun-23,22.4
??,May-23,18.3
??,Apr-23,13
??,Mar-23,8.6
??,Feb-23,1.5
??,Jan-23,-2.3
??,Dec-22,-3.6
??,Nov-22,9
??,Oct-22,13.7
??,Sep-22,21.3
??,Aug-22,25
??,Jul-22,26.4
??,Jun-22,22.5
??,May-22,17.9
??,Apr-22,13.6
??,Mar-22,7
??,Feb-22,-1.4
??,Jan-22,-2.5
??,Dec-21,0.3
??,Nov-21,7.6
??,Oct-21,15
??,Sep-21,21.9
??,Aug-21,25.1
??,Jul-21,27
??,Jun-21,22
??,May-21,16.3
??,Apr-21,13.4
??,Mar-21,8.1
??,Feb-21,2.1
??,Jan-21,-2.8
??,Dec-20,-0.8
??,Nov-20,7.5
??,Oct-20,13.5
??,Sep-20,20.6
??,Aug-20,26
??,Jul-20,23.4
??,Jun-20,22.8
??,May-20,17.3
??,Apr-20,10.6
??,Mar-20,7.2
??,Feb-20,2.2
??,Jan-20,1.3
??,Dec-19,1.1
??,Nov-19,7.1
??,Oct-19,15.6
??,Sep-19,22.2
??,Aug-19,26.7
??,Jul-19,25.3
??,Jun-19,21.6
??,May-19,18.1
??,Apr-19,11.5
??,Mar-19,6.4
??,Feb-19,0.7
??,Jan-19,-1.1
??,Dec-18,-0.6
??,Nov-18,7.7
??,Oct-18,12.9
??,Sep-18,21.1
??,Aug-18,28
??,Jul-18,26.9
??,Jun-18,21.9
??,May-18,17.3
??,Apr-18,12.1
??,Mar-18,7.3
??,Feb-18,-1.9
??,Jan-18,-4.1
??,Dec-17,-1.8
??,Nov-17,5.5
??,Oct-17,15.5
??,Sep-17,21.4
??,Aug-17,25.3
??,Jul-17,26.1
??,Jun-17,22.1
??,May-17,18.1
??,Apr-17,12.9
??,Mar-17,5.7
??,Feb-17,-0.2
??,Jan-17,-1.6
??,Dec-16,1.5
??,Nov-16,6.9
??,Oct-16,15.7
??,Sep-16,22.5
??,Aug-16,27.4
??,Jul-16,25.5
??,Jun-16,22.5
??,May-16,18.6
??,Apr-16,13.2
??,Mar-16,6.5
??,Feb-16,0.4
??,Jan-16,-2.8
??,Dec-15,1.8
??,Nov-15,9
??,Oct-15,15.3
??,Sep-15,21.9
??,Aug-15,25.8
??,Jul-15,25
??,Jun-15,22.4
??,May-15,17.6
??,Apr-15,12.7
??,Mar-15,5.6
??,Feb-15,0.9
??,Jan-15,-1.1
??,Dec-14,-2.6
??,Nov-14,8.6
??,Oct-14,15.2
??,Sep-14,21.6
??,Aug-14,24.6
??,Jul-14,25.2
??,Jun-14,22.3
??,May-14,17.6
??,Apr-14,12.8
??,Mar-14,7.2
??,Feb-14,1.4
??,Jan-14,-0.8
??,Dec-13,-0.3
??,Nov-13,6.1
??,Oct-13,15.4
??,Sep-13,21.3
??,Aug-13,27
??,Jul-13,24.8
??,Jun-13,23
??,May-13,16.8
??,Apr-13,9.3
??,Mar-13,4.3
??,Feb-13,-1.6
??,Jan-13,-3.6
??,Dec-12,-4.3
??,Nov-12,5.5
??,Oct-12,14.9
??,Sep-12,20.6
??,Aug-12,26.7
??,Jul-12,24.8
??,Jun-12,23.1
??,May-12,18.5
??,Apr-12,11.7
??,Mar-12,4.8
??,Feb-12,-2.1
??,Jan-12,-2.9
??,Dec-11,-0.7
??,Nov-11,10.8
??,Oct-11,14
??,Sep-11,21.4
??,Aug-11,25.4
??,Jul-11,24.4
??,Jun-11,20.7
??,May-11,16.8
??,Apr-11,10
??,Mar-11,3.6
??,Feb-11,0.6
??,Jan-11,-7
??,Dec-10,-0.9
??,Nov-10,6.5
??,Oct-10,14.3
??,Sep-10,21.8
??,Aug-10,26.3
??,Jul-10,25.3
??,Jun-10,22.5
??,May-10,16.5
??,Apr-10,9.2
??,Mar-10,4.4
??,Feb-10,1.1
??,Jan-10,-4.5
??,Dec-09,-0.9
??,Nov-09,6.8
??,Oct-09,15.6
??,Sep-09,21.2
??,Aug-09,25.2
??,Jul-09,23.7
??,Jun-09,21.4
??,May-09,17.9
??,Apr-09,11.7
??,Mar-09,5.8
??,Feb-09,2.5
??,Jan-09,-2.2
??,Dec-08,1.1
??,Nov-08,7.5
??,Oct-08,15.9
??,Sep-08,21.7
??,Aug-08,25
??,Jul-08,24.7
??,Jun-08,21
??,May-08,16.9
??,Apr-08,13.2
??,Mar-08,6.8
??,Feb-08,-1.3
??,Jan-08,-1.9
??,Dec-07,1.7
??,Nov-07,6.4
??,Oct-07,14.7
??,Sep-07,21.3
??,Aug-07,25.8
??,Jul-07,23.5
??,Jun-07,22.2
??,May-07,17.1
??,Apr-07,10.8
??,Mar-07,5.8
??,Feb-07,3.4
??,Jan-07,0
??,Dec-06,1.2
??,Nov-06,8.4
??,Oct-06,17.4
??,Sep-06,20.8
??,Aug-06,26.6
??,Jul-06,22.8
??,Jun-06,20.8
??,May-06,17.5
??,Apr-06,11
??,Mar-06,4.7
??,Feb-06,-0.3
??,Jan-06,-0.7
??,Dec-05,-4
??,Nov-05,8.2
??,Oct-05,14.3
??,Sep-05,21.5
??,Aug-05,24.8
??,Jul-05,24.7
??,Jun-05,21.8
??,May-05,17
??,Apr-05,12.4
??,Mar-05,4
??,Feb-05,-1.8
??,Jan-05,-2.5
??,Dec-04,1.7
??,Nov-04,8.7
??,Oct-04,14.6
??,Sep-04,21.2
??,Aug-04,25.5
??,Jul-04,24
??,Jun-04,22
??,May-04,16.5
??,Apr-04,12
??,Mar-04,5.5
??,Feb-04,1.8
??,Jan-04,-2.1
??,Dec-03,0.4
??,Nov-03,9
??,Oct-03,13.8
??,Sep-03,20.6
??,Aug-03,23.7
??,Jul-03,23.3
??,Jun-03,20.7
??,May-03,18.4
??,Apr-03,12.3
??,Mar-03,5.6
??,Feb-03,1.7
??,Jan-03,-3.2
??,Dec-02,1
??,Nov-02,3.5
??,Oct-02,12.3
??,Sep-02,21
??,Aug-02,23.7
??,Jul-02,24.6
??,Jun-02,21.1
??,May-02,16.9
??,Apr-02,12.9
??,Mar-02,6.8
??,Feb-02,1.7
??,Jan-02,-0.2
??,May-25,17.1
??,Apr-25,13.9
??,Mar-25,8.9
??,Feb-25,1.4
