? ?? ?????  ???????(2020=100) [2020=100],,,,,,,
??-?????,??,????(???),????? ????(???),????? ????(???),????(????),????? ????(????),????? ????(????)
??,2002.01 ?,47.931,54.369,42.857,47.477,52.916,41.586
??,2002.02 ?,42.636,49.845,41.42,48.433,54.654,40.922
??,2002.03 ?,50.803,58.805,40.415,49.597,55.183,40.062
??,2002.04 ?,51.4,58.717,40.76,49.871,55.254,40.496
??,2002.05 ?,51.847,59.487,40.259,49.238,54.852,39.93
??,2002.06 ?,47.568,54.054,40.777,48.871,53.445,41.122
??,2002.07 ?,49.159,55.064,41.34,50.134,54.852,41.27
??,2002.08 ?,48.988,55.54,41.705,50.776,55.586,42.018
??,2002.09 ?,48.482,56.227,40.493,49.597,55.917,41.31
??,2002.10 ?,54.022,61.546,41.018,50.428,56.124,41.506
??,2002.11 ?,53.465,61.074,41.004,51.153,56.724,41.45
??,2002.12 ?,52.376,59.257,41.521,51.999,57.189,41.936
??,2003.01 ?,49.769,56.296,43.594,50.695,56.321,42.372
??,2003.02 ?,47.078,53.819,44.026,51.081,56.518,43.438
??,2003.03 ?,53.41,60.621,44.554,52.084,56.858,44.195
??,2003.04 ?,52.519,59.749,45.142,51.014,56.258,44.924
??,2003.05 ?,51.605,58.863,45.102,50.793,56.186,44.799
??,2003.06 ?,52.024,59.282,44.797,52.463,57.655,45.114
??,2003.07 ?,49.854,56.06,45.193,49.97,54.985,45.023
??,2003.08 ?,49.849,56.526,45.088,52.745,57.593,45.422
??,2003.09 ?,52.114,59.556,44.033,53.258,59.196,44.859
??,2003.10 ?,58.617,66.304,43.759,54.742,60.334,44.258
??,2003.11 ?,56.57,63.935,43.717,54.994,60.262,44.24
??,2003.12 ?,58.545,65.732,44.136,56.126,61.4,44.546
??,2004.01 ?,52.516,58.964,45.456,55.977,61.938,44.29
??,2004.02 ?,55.854,62.22,46.483,58.908,63.066,45.843
??,2004.03 ?,60.351,67.832,46.661,57.745,62.6,46.278
??,2004.04 ?,58.883,66.143,45.804,58.33,63.335,45.711
??,2004.05 ?,59.117,65.833,46.734,59.174,64.007,46.433
??,2004.06 ?,59.006,66.103,46.163,57.297,62.269,46.393
??,2004.07 ?,56.47,63.173,46.749,56.571,61.938,46.517
??,2004.08 ?,55.206,62.154,46.727,57.589,62.331,46.968
??,2004.09 ?,57.246,64.588,46.261,58.195,63.675,47.047
??,2004.10 ?,61.935,69.7,46.352,58.112,63.872,46.871
??,2004.11 ?,62.274,69.946,47.442,59.33,64.742,47.96
??,2004.12 ?,61.07,67.784,48.355,58.65,63.406,48.839
??,2005.01 ?,60.468,66.755,51.15,60.861,66.345,49.547
??,2005.02 ?,51.847,58.747,49.95,59.544,64.607,49.403
??,2005.03 ?,63.631,71.104,49.749,61.442,65.745,49.781
??,2005.04 ?,61.646,68.895,50.3,60.063,65.208,50.99
??,2005.05 ?,62.019,68.55,51.201,59.652,64.804,50.856
??,2005.06 ?,61.523,69.171,49.299,60.04,66.273,49.675
??,2005.07 ?,61.088,67.583,50.45,60.585,66.48,50.104
??,2005.08 ?,58.732,66.271,49.048,60.976,66.676,48.964
??,2005.09 ?,60.716,67.652,49.349,61.648,66.614,50.103
??,2005.10 ?,65.988,72.968,49.349,63.221,68.011,49.834
??,2005.11 ?,68.964,75.798,49.9,65.917,71.021,50.171
??,2005.12 ?,67.601,74.9,50.85,64.491,70.018,50.919
??,2006.01 ?,63.817,69.585,53.553,66.123,72.553,51.418
??,2006.02 ?,62.019,68.273,53.353,66.922,70.483,53.154
??,2006.03 ?,69.398,76.488,54.404,67.018,71.289,54.434
??,2006.04 ?,66.608,73.796,53.803,66.121,70.752,54.571
??,2006.05 ?,68.407,75.591,55.154,66.936,72.024,54.847
??,2006.06 ?,67.414,74.763,55.055,65.733,71.621,55.504
??,2006.07 ?,61.956,68.273,56.355,62.416,68.683,56.019
??,2006.08 ?,64.685,72.623,54.854,67.12,72.759,54.755
??,2006.09 ?,72.065,79.94,54.805,69.486,74.425,55.774
??,2006.10 ?,69.336,76.143,54.854,71.071,76.432,55.297
??,2006.11 ?,73.989,81.183,55.154,70.804,75.966,55.407
??,2006.12 ?,69.212,76.971,55.555,68.372,74.094,55.746
??,2007.01 ?,69.585,75.591,59.359,69.112,74.9,57.536
??,2007.02 ?,61.956,69.862,57.858,69.944,76.029,57.221
??,2007.03 ?,71.756,80.562,57.056,69.305,74.963,57.08
??,2007.04 ?,70.887,79.387,55.955,70.356,76.1,56.72
??,2007.05 ?,72.375,80.63,57.157,70.745,76.763,56.856
??,2007.06 ?,72.004,79.94,57.306,70.122,76.504,57.79
??,2007.07 ?,70.701,78.214,57.807,70.996,78.708,57.432
??,2007.08 ?,70.701,78.007,57.807,73.276,78.304,57.692
??,2007.09 ?,69.833,77.041,56.355,72.988,78.035,57.312
??,2007.10 ?,80.748,88.017,57.557,76.565,81.108,58.079
??,2007.11 ?,79.756,87.534,57.507,76.52,82.049,57.727
??,2007.12 ?,75.973,83.737,58.658,76.397,82.183,58.934
??,2008.01 ?,78.144,83.599,61.961,77.943,83.043,60.153
??,2008.02 ?,68.531,75.315,62.162,77.259,81.709,61.482
??,2008.03 ?,79.881,88.155,61.811,78.483,83.312,61.888
